PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,Deck,Cabin_num,Side
0001_01,1,0,2,39.0,0,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,False,1,0,0
0002_01,0,0,2,24.0,0,109.0,109.0,109.0,109.0,109.0,Juanna Vines,True,5,0,1
0003_01,1,0,2,58.0,1,43.0,43.0,43.0,43.0,43.0,Altark Susent,False,0,0,1
0003_02,1,0,2,33.0,0,0.0,0.0,0.0,0.0,0.0,Solam Susent,False,0,0,1
0004_01,0,0,2,16.0,0,303.0,303.0,303.0,303.0,303.0,Willy Santantines,True,5,1,1
0005_01,0,0,1,44.0,0,0.0,0.0,0.0,0.0,0.0,Sandie Hinetthews,True,5,0,0
0006_01,0,0,2,26.0,0,42.0,42.0,42.0,42.0,42.0,Billex Jacostaffey,True,5,2,1
0006_02,0,1,2,28.0,0,0.0,0.0,0.0,0.0,0.0,Candra Jacostaffey,True,6,0,1
0007_01,0,0,2,35.0,0,0.0,0.0,0.0,0.0,0.0,Andona Beston,True,5,3,1
0008_01,1,1,0,14.0,0,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,True,1,1,0
0008_02,1,1,2,34.0,0,0.0,0.0,0.0,0.0,0.0,Altardr Flatic,True,1,1,0
0008_03,1,0,0,45.0,0,39.0,39.0,39.0,39.0,39.0,Wezena Flatic,True,1,1,0
0009_01,2,0,2,32.0,0,73.0,73.0,73.0,73.0,73.0,Berers Barne,True,5,1,0
0010_01,0,0,2,48.0,0,719.0,719.0,719.0,719.0,719.0,Reney Baketton,False,6,1,1
0011_01,0,0,2,28.0,0,8.0,8.0,8.0,8.0,8.0,Elle Bertsontry,True,5,2,0
0012_01,0,0,2,31.0,0,32.0,32.0,32.0,32.0,32.0,Justie Pooles,False,8,30.549435004179188,2
0014_01,2,0,0,27.0,0,1286.0,1286.0,1286.0,1286.0,1286.0,Flats Eccle,False,5,3,0
0015_01,0,0,0,24.0,0,0.0,0.0,0.0,0.0,0.0,Carry Hughriend,False,5,4,0
0016_01,2,1,2,45.0,0,0.0,0.0,0.0,0.0,0.0,Alus Upead,True,5,5,0
0017_01,0,0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,Lyde Brighttt,True,6,0,0
0017_02,0,0,0,14.0,0,412.0,412.0,412.0,412.0,412.0,Philda Brighttt,False,5,6,0
0020_01,0,1,2,1.0,0,0.0,0.0,0.0,0.0,0.0,Almary Brantuarez,False,4,0,1
0020_02,0,1,0,49.0,0,0.0,0.0,0.0,0.0,0.0,Glendy Brantuarez,False,4,0,1
0020_03,0,1,0,29.0,0,0.0,0.0,0.0,0.0,0.0,Mollen Mcfaddennon,False,4,0,1
0020_04,0,0,2,10.0,0,0.0,0.0,0.0,0.0,0.0,Breney Jacostanley,True,4,0,1
0020_05,0,1,1,1.0,0,0.0,0.0,0.0,0.0,0.0,Mael Brantuarez,False,4,0,1
0020_06,0,0,2,7.0,0,0.0,0.0,0.0,0.0,0.0,Terta Mcfaddennon,False,4,0,1
0022_01,2,0,2,21.0,0,980.0,980.0,980.0,980.0,980.0,,False,3,0,0
0024_01,1,1,2,62.0,0,0.0,0.0,0.0,0.0,0.0,Penton Fullided,True,2,2,1
0025_01,0,0,2,15.0,0,0.0,0.0,0.0,0.0,0.0,Karard Brookenson,False,5,6,1
0026_01,1,0,0,34.0,0,22.0,22.0,22.0,22.0,22.0,Anyoni Unconary,False,2,0,0
0028_01,2,0,2,43.0,0,1125.0,1125.0,1125.0,1125.0,1125.0,Ceros Mare,False,5,8,0
0030_01,0,0,2,32.0,0,0.0,0.0,0.0,0.0,0.0,Ginia Morsentley,False,6,4,1
0031_01,2,0,2,47.0,0,214.0,214.0,214.0,214.0,214.0,Coobix Datie,True,5,9,0
0031_02,2,0,2,2.0,0,0.0,0.0,0.0,0.0,0.0,Cinets Datie,True,5,9,0
0031_03,2,0,2,20.0,0,,,,,,Dontch Datie,True,5,9,0
0034_01,1,1,0,28.0,0,0.0,0.0,0.0,0.0,0.0,Ziba Oingwhedly,True,3,1,1
0035_01,2,0,0,23.0,0,784.0,784.0,784.0,784.0,784.0,Luse Butte,False,3,1,0
0036_01,0,0,0,15.0,2,0.0,0.0,0.0,0.0,0.0,Marina Leodger,False,5,8,1
0038_01,0,0,0,20.0,0,554.0,554.0,554.0,554.0,554.0,Loise Wheelez,False,5,10,1
0039_01,0,1,0,30.0,0,0.0,0.0,0.0,0.0,0.0,Jorgie Batthewitt,False,6,1,0
0041_01,0,1,2,17.0,0,0.0,0.0,0.0,0.0,0.0,Margia Moodsey,True,6,2,0
0043_01,1,0,2,45.0,0,0.0,0.0,0.0,0.0,0.0,Ankalik Cylistrand,False,1,3,0
